datetime,open,high,low,close
2025-04-28 06:45:00,1.13556,1.13582,1.13493,1.13514
2025-04-28 07:00:00,1.13512,1.13531,1.13431,1.1346
2025-04-28 07:15:00,1.13444,1.13516,1.1344,1.13461
2025-04-28 07:30:00,1.13462,1.13531,1.13452,1.13522
2025-04-28 07:45:00,1.13525,1.13578,1.13517,1.13536
2025-04-28 08:00:00,1.13535,1.13564,1.13511,1.13559
2025-04-28 08:15:00,1.1356,1.13605,1.13544,1.1358
2025-04-28 08:30:00,1.13575,1.13595,1.13549,1.13552
2025-04-28 08:45:00,1.13563,1.13607,1.13559,1.13567
2025-04-28 09:00:00,1.13557,1.13598,1.13522,1.13592
2025-04-28 09:15:00,1.13589,1.13625,1.13585,1.13619
2025-04-28 09:30:00,1.13620,1.13656,1.13601,1.13651
2025-04-28 09:45:00,1.13651,1.13734,1.13639,1.13723
2025-04-28 10:00:00,1.13717,1.13796,1.13708,1.13765
2025-04-28 10:15:00,1.13772,1.13805,1.13753,1.13773
2025-04-28 10:30:00,1.13775,1.13812,1.13743,1.13755
2025-04-28 10:45:00,1.13753,1.13788,1.13719,1.13742
2025-04-28 11:00:00,1.13740,1.13751,1.13676,1.13686
2025-04-28 11:15:00,1.13684,1.13741,1.13635,1.13652
2025-04-28 11:30:00,1.13648,1.13666,1.13434,1.13458
2025-04-28 11:45:00,1.13459,1.13475,1.13289,1.13322
2025-04-28 12:00:00,1.13316,1.13473,1.13307,1.13426
2025-04-28 12:15:00,1.13428,1.13506,1.13379,1.13498
2025-04-28 12:30:00,1.13497,1.13611,1.13462,1.13602
2025-04-28 12:45:00,1.13603,1.13622,1.13447,1.13485
2025-04-28 13:00:00,1.13484,1.13506,1.13418,1.13439
2025-04-28 13:15:00,1.1344,1.13475,1.13352,1.13364
2025-04-28 13:30:00,1.1336,1.13523,1.13353,1.135
2025-04-28 13:45:00,1.13493,1.13502,1.13418,1.13427
2025-04-28 14:00:00,1.13435,1.13448,1.1342,1.13439
2025-04-29 09:00:00,1.13904,1.13926,1.13873,1.13917
2025-04-29 09:15:00,1.13919,1.13936,1.13889,1.13891
2025-04-29 09:30:00,1.1389,1.13908,1.13809,1.13817
2025-04-29 09:45:00,1.13819,1.13819,1.1374,1.13782
2025-04-29 10:00:00,1.13785,1.1381,1.13759,1.13776
2025-04-29 10:15:00,1.13779,1.13853,1.13776,1.13823
2025-04-29 10:30:00,1.13823,1.1388,1.1382,1.13873
2025-04-29 10:45:00,1.1387,1.13879,1.13842,1.13868
2025-04-29 11:00:00,1.13864,1.13946,1.13834,1.13938
2025-04-29 11:15:00,1.13937,1.13975,1.13907,1.13934
2025-04-29 11:30:00,1.1394,1.13993,1.1392,1.13926
2025-04-29 11:45:00,1.13923,1.13939,1.13841,1.13895
